state,x,y
Abia,-43.0,-161.0
Adamawa,153.0,10.0
Akwa Ibom,-35.0,-194.0
Anambra,-76.0,-139.0
Bauchi,53.0,43.0
Bayelsa,-112.0,-195.0
Benue,2.0,-87.0
Borno,201.0,114.0
Cross River,-5.0,-167.0
Delta,-116.0,-167.0
Ebonyi,-25.0,-135.0
Edo,-117.0,-121.0
Ekiti,-144.0,-67.0
Enugu,-50.0,-124.0
Gombe,113.0,35.0
Imo,-67.0,-167.0
Jigawa,43.0,125.0
Kaduna,-33.0,39.0
Kano,1.0,112.0
Katsina,-45.0,132.0
Kebbi,-190.0,103.0
Kogi,-86.0,-69.0
Kwara,-169.0,-30.0
Lagos,-219.0,-121.0
Nasarawa,-26.0,-37.0
Niger,-124.0,19.0
Ogun,-226.0,-102.0
Ondo,-157.0,-103.0
Osun,-177.0,-77.0
Oyo,-218.0,-50.0
Plateau,40.0,-16.0
Rivers,-82.0,-194.0
Sokoto,-140.0,171.0
Taraba,84.0,-64.0
Yobe,124.0,124.0
Zamfara,-100.0,118.0
Abuja,-63.0,-22.0
